edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Ursodeoxycholic acid	0	0.0898364975744146	0.0898364975744146	15
05-09	Male	Ursodeoxycholic acid	0	0.0100532823967025	0.0100532823967025	1
10-14	Male	Ursodeoxycholic acid	0.0116945386504502	0.0233890773009005	0.0233890773009005	2
15-19	Male	Ursodeoxycholic acid	0.013933398355859	0.055733593423436	0.055733593423436	4
20-24	Male	Ursodeoxycholic acid	0	0.0439302972616781	0.0439302972616781	3
25-29	Male	Ursodeoxycholic acid	0	0.050884111436204	0.050884111436204	4
30-34	Male	Ursodeoxycholic acid	0	0.0523012552301255	0.0653765690376569	5
35-39	Male	Ursodeoxycholic acid	0	0.0699790062981106	0.0979706088173548	7
40-44	Male	Ursodeoxycholic acid	0	0.0444707975096353	0.0889415950192707	6
45-49	Male	Ursodeoxycholic acid	0.0137760022041604	0.0826560132249621	0.0826560132249621	6
50-54	Male	Ursodeoxycholic acid	0	0.0993418601763318	0.0993418601763318	8
55-59	Male	Ursodeoxycholic acid	0.0112790435371081	0.135348522445297	0.169185653056621	15
60-64	Male	Ursodeoxycholic acid	0.0243813239058881	0.0731439717176643	0.109715957576496	9
65-69	Male	Ursodeoxycholic acid	0	0.135256988277728	0.165314096783889	11
70-74	Male	Ursodeoxycholic acid	0	0.128205128205128	0.128205128205128	6
75-79	Male	Ursodeoxycholic acid	0.0313185092389602	0.156592546194801	0.156592546194801	5
80-84	Male	Ursodeoxycholic acid	0	0.198117880138683	0.198117880138683	4
85-89	Male	Ursodeoxycholic acid	0	0.0809061488673139	0.0809061488673139	1
>90	Male	Ursodeoxycholic acid	0	0	0	0
