edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Vecuronium	0.0179672995148829	0.059890998382943	0.059890998382943	10
05-09	Male	Vecuronium	0	0	0	0
10-14	Male	Vecuronium	0	0	0	0
15-19	Male	Vecuronium	0	0.041800195067577	0.041800195067577	3
20-24	Male	Vecuronium	0	0.0439302972616781	0.0439302972616781	3
25-29	Male	Vecuronium	0	0.038163083577153	0.038163083577153	3
30-34	Male	Vecuronium	0	0.0784518828451883	0.0784518828451883	6
35-39	Male	Vecuronium	0.0279916025192442	0.0839748075577327	0.0839748075577327	6
40-44	Male	Vecuronium	0.0148235991698784	0.118588793359028	0.118588793359028	8
45-49	Male	Vecuronium	0	0.0551040088166414	0.0551040088166414	4
50-54	Male	Vecuronium	0.024835465044083	0.136595057742456	0.136595057742456	11
55-59	Male	Vecuronium	0.0225580870742161	0.225580870742161	0.225580870742161	20
60-64	Male	Vecuronium	0.012190661952944	0.109715957576496	0.109715957576496	9
65-69	Male	Vecuronium	0.0150285542530809	0.135256988277728	0.135256988277728	9
70-74	Male	Vecuronium	0.0213675213675214	0.170940170940171	0.170940170940171	8
75-79	Male	Vecuronium	0	0.125274036955841	0.125274036955841	4
80-84	Male	Vecuronium	0.0495294700346706	0.148588410104012	0.148588410104012	3
85-89	Male	Vecuronium	0.0809061488673139	0.0809061488673139	0.0809061488673139	1
>90	Male	Vecuronium	0	0	0	0
