edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Witch hazel	0	0	0	0
05-09	Female	Witch hazel	0	0	0	0
10-14	Female	Witch hazel	0	0	0.0122684333210649	1
15-19	Female	Witch hazel	0	0	0.0192196809532962	2
20-24	Female	Witch hazel	0	0	0.0376081233546446	5
25-29	Female	Witch hazel	0	0	0.025958855214485	4
30-34	Female	Witch hazel	0	0	0.0515350069940367	7
35-39	Female	Witch hazel	0	0	0.00850267834367826	1
40-44	Female	Witch hazel	0	0	0.0306811208836163	3
45-49	Female	Witch hazel	0	0	0	0
50-54	Female	Witch hazel	0	0	0.00923446301597562	1
55-59	Female	Witch hazel	0	0	0	0
60-64	Female	Witch hazel	0	0	0.00925411808254673	1
65-69	Female	Witch hazel	0	0	0.0224014336917563	2
70-74	Female	Witch hazel	0	0	0.0158478605388273	1
75-79	Female	Witch hazel	0	0	0.0220361392684002	1
80-84	Female	Witch hazel	0	0	0.0603682463024449	2
85-89	Female	Witch hazel	0	0	0.0442477876106195	1
>90	Female	Witch hazel	0	0	0	0
