edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Secretin human	0	0	0	0
05-09	Male	Secretin human	0	0.0100532823967025	0.020106564793405	2
10-14	Male	Secretin human	0	0.0116945386504502	0.0116945386504502	1
15-19	Male	Secretin human	0	0.013933398355859	0.013933398355859	1
20-24	Male	Secretin human	0	0	0	0
25-29	Male	Secretin human	0	0.012721027859051	0.012721027859051	1
30-34	Male	Secretin human	0	0	0	0
35-39	Male	Secretin human	0	0.0279916025192442	0.0279916025192442	2
40-44	Male	Secretin human	0	0.0296471983397569	0.0296471983397569	2
45-49	Male	Secretin human	0	0.0137760022041604	0.0137760022041604	1
50-54	Male	Secretin human	0	0	0	0
55-59	Male	Secretin human	0	0.0338371306113242	0.0338371306113242	3
60-64	Male	Secretin human	0	0.0365719858588321	0.0365719858588321	3
65-69	Male	Secretin human	0	0.0150285542530809	0.0150285542530809	1
70-74	Male	Secretin human	0	0	0	0
75-79	Male	Secretin human	0	0	0	0
80-84	Male	Secretin human	0	0.0495294700346706	0.0495294700346706	1
85-89	Male	Secretin human	0	0	0	0
>90	Male	Secretin human	0	0	0	0
