edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Selenium	0	0	0	0
05-09	Male	Selenium	0	0	0	0
10-14	Male	Selenium	0	0	0	0
15-19	Male	Selenium	0	0	0	0
20-24	Male	Selenium	0	0	0	0
25-29	Male	Selenium	0	0.012721027859051	0.012721027859051	1
30-34	Male	Selenium	0	0	0	0
35-39	Male	Selenium	0	0.0139958012596221	0.0139958012596221	1
40-44	Male	Selenium	0	0	0.0148235991698784	1
45-49	Male	Selenium	0	0.0137760022041604	0.0137760022041604	1
50-54	Male	Selenium	0	0.024835465044083	0.024835465044083	2
55-59	Male	Selenium	0	0.0338371306113242	0.0338371306113242	3
60-64	Male	Selenium	0	0.012190661952944	0.012190661952944	1
65-69	Male	Selenium	0	0.0901713255184851	0.105199879771566	7
70-74	Male	Selenium	0	0.0854700854700855	0.0854700854700855	4
75-79	Male	Selenium	0	0.125274036955841	0.125274036955841	4
80-84	Male	Selenium	0	0.148588410104012	0.198117880138683	4
85-89	Male	Selenium	0	0.0809061488673139	0.0809061488673139	1
>90	Male	Selenium	0	0.325732899022801	0.325732899022801	2
