edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Mirabegron	0	0	0	0
05-09	Male	Mirabegron	0	0	0	0
10-14	Male	Mirabegron	0	0.0116945386504502	0.0116945386504502	1
15-19	Male	Mirabegron	0	0	0	0
20-24	Male	Mirabegron	0	0.0146434324205594	0.0146434324205594	1
25-29	Male	Mirabegron	0	0	0	0
30-34	Male	Mirabegron	0	0	0	0
35-39	Male	Mirabegron	0	0	0.0279916025192442	2
40-44	Male	Mirabegron	0	0.0296471983397569	0.0592943966795138	4
45-49	Male	Mirabegron	0	0.0137760022041604	0.0275520044083207	2
50-54	Male	Mirabegron	0	0.0620886626102074	0.0869241276542903	7
55-59	Male	Mirabegron	0	0.112790435371081	0.157906609519513	14
60-64	Male	Mirabegron	0	0.170669267341217	0.219431915152993	18
65-69	Male	Mirabegron	0	0.300571085061617	0.450856627592426	30
70-74	Male	Mirabegron	0	0.363247863247863	0.47008547008547	22
75-79	Male	Mirabegron	0	0.720325712496085	0.939555277168807	30
80-84	Male	Mirabegron	0	1.13917781079742	1.28776622090144	26
85-89	Male	Mirabegron	0	1.29449838187702	1.94174757281553	24
>90	Male	Mirabegron	0	0.325732899022801	0.814332247557003	5
