edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Cyanocobalamin	0	0.0059890998382943	0.0119781996765886	2
05-09	Male	Cyanocobalamin	0	0.0100532823967025	0.020106564793405	2
10-14	Male	Cyanocobalamin	0	0.0584726932522512	0.116945386504502	10
15-19	Male	Cyanocobalamin	0	0.111467186846872	0.167200780270308	12
20-24	Male	Cyanocobalamin	0	0.219651486308391	0.322155513252306	22
25-29	Male	Cyanocobalamin	0	0.394351863630581	0.534283170080142	42
30-34	Male	Cyanocobalamin	0	0.614539748953975	0.784518828451883	60
35-39	Male	Cyanocobalamin	0	0.699790062981106	0.909727081875437	65
40-44	Male	Cyanocobalamin	0	1.28965312777942	1.52683071449748	103
45-49	Male	Cyanocobalamin	0	1.51536024245764	1.81843229094917	132
50-54	Male	Cyanocobalamin	0	1.91233080839439	2.26002731901155	182
55-59	Male	Cyanocobalamin	0	2.35732009925558	2.69569140536882	239
60-64	Male	Cyanocobalamin	0	2.93794953065951	3.44995733268316	283
65-69	Male	Cyanocobalamin	0	4.05770964833183	4.53862338443042	302
70-74	Male	Cyanocobalamin	0	5.04273504273504	6.02564102564103	282
75-79	Male	Cyanocobalamin	0	7.35984967115565	8.23676792984654	263
80-84	Male	Cyanocobalamin	0	8.27142149578999	9.41059930658742	190
85-89	Male	Cyanocobalamin	0	10.8414239482201	11.6504854368932	144
>90	Male	Cyanocobalamin	0	10.586319218241	11.8892508143322	73
