edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Mineral oil	0	0.059890998382943	0.545008085284782	91
05-09	Male	Mineral oil	0	0.211118930330753	0.492610837438424	49
10-14	Male	Mineral oil	0	0.140334463805403	0.292363466261256	25
15-19	Male	Mineral oil	0	0.153267381914449	0.209000975337885	15
20-24	Male	Mineral oil	0	0.131790891785034	0.219651486308391	15
25-29	Male	Mineral oil	0	0.292583640758173	0.318025696476275	25
30-34	Male	Mineral oil	0	0.222280334728033	0.222280334728033	17
35-39	Male	Mineral oil	0	0.181945416375087	0.19594121763471	14
40-44	Male	Mineral oil	0	0.207530388378298	0.207530388378298	14
45-49	Male	Mineral oil	0	0.247968039674886	0.261744041879047	19
50-54	Male	Mineral oil	0	0.223519185396747	0.310443313051037	25
55-59	Male	Mineral oil	0	0.270697044890593	0.315813219039025	28
60-64	Male	Mineral oil	0	0.402291844447153	0.402291844447153	33
65-69	Male	Mineral oil	0	0.405770964833183	0.435828073339345	29
70-74	Male	Mineral oil	0	0.384615384615385	0.448717948717949	21
75-79	Male	Mineral oil	0	0.626370184779204	0.626370184779204	20
80-84	Male	Mineral oil	0	0.495294700346706	0.495294700346706	10
85-89	Male	Mineral oil	0	0.242718446601942	0.323624595469256	4
>90	Male	Mineral oil	0	0.814332247557003	0.977198697068404	6
