edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Antithymocyte immunoglobulin rabbit	0	0.00679163270850312	0.00679163270850312	1
05-09	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
10-14	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
15-19	Female	Antithymocyte immunoglobulin rabbit	0	0.00960984047664809	0.00960984047664809	1
20-24	Female	Antithymocyte immunoglobulin rabbit	0	0.0225648740127868	0.0225648740127868	3
25-29	Female	Antithymocyte immunoglobulin rabbit	0	0.0129794276072425	0.0129794276072425	2
30-34	Female	Antithymocyte immunoglobulin rabbit	0	0.00736214385629095	0.00736214385629095	1
35-39	Female	Antithymocyte immunoglobulin rabbit	0	0.0170053566873565	0.0170053566873565	2
40-44	Female	Antithymocyte immunoglobulin rabbit	0	0.0715892820617713	0.0715892820617713	7
45-49	Female	Antithymocyte immunoglobulin rabbit	0	0.0487519500780031	0.0487519500780031	5
50-54	Female	Antithymocyte immunoglobulin rabbit	0	0.0554067780958537	0.0554067780958537	6
55-59	Female	Antithymocyte immunoglobulin rabbit	0	0.0524842547235829	0.0524842547235829	6
60-64	Female	Antithymocyte immunoglobulin rabbit	0	0.0740329446603739	0.0740329446603739	8
65-69	Female	Antithymocyte immunoglobulin rabbit	0	0.0672043010752688	0.0672043010752688	6
70-74	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
75-79	Female	Antithymocyte immunoglobulin rabbit	0	0.0220361392684002	0.0220361392684002	1
80-84	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
85-89	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
>90	Female	Antithymocyte immunoglobulin rabbit	0	0	0	0
