edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Female	Conjugated estrogens	0	0.00679163270850312	0.176582450421081	26
05-09	Female	Conjugated estrogens	0	0	0.0333518621456365	3
10-14	Female	Conjugated estrogens	0	0	0.0245368666421298	2
15-19	Female	Conjugated estrogens	0	0.115318085719777	0.153757447626369	16
20-24	Female	Conjugated estrogens	0	0.0225648740127868	0.0752162467092892	10
25-29	Female	Conjugated estrogens	0	0.0194691414108638	0.0584074242325913	9
30-34	Female	Conjugated estrogens	0	0.0294485754251638	0.161967164838401	22
35-39	Female	Conjugated estrogens	0.00850267834367826	0.0595187484057478	0.229572315279313	27
40-44	Female	Conjugated estrogens	0	0.040908161178155	0.224994886479853	22
45-49	Female	Conjugated estrogens	0.0195007800312012	0.204758190327613	0.516770670826833	53
50-54	Female	Conjugated estrogens	0.00923446301597562	0.249330501431342	1.01579093175732	110
55-59	Female	Conjugated estrogens	0.0174947515745276	0.262421273617915	1.21588523442967	139
60-64	Female	Conjugated estrogens	0.00925411808254673	0.249861188228762	1.55469183786785	168
65-69	Female	Conjugated estrogens	0.0112007168458781	0.347222222222222	1.52329749103943	136
70-74	Female	Conjugated estrogens	0.0316957210776545	0.269413629160063	1.48969889064976	94
75-79	Female	Conjugated estrogens	0	0.220361392684002	1.54252974878801	70
80-84	Female	Conjugated estrogens	0.0905523694536674	0.301841231512225	1.35828554180501	45
85-89	Female	Conjugated estrogens	0	0.0442477876106195	1.23893805309735	28
>90	Female	Conjugated estrogens	0	0.202156334231806	1.01078167115903	15
