edades	gender	name_drug	pat_inter	pat_coad	patient	pat_tot
00-04	Male	Melatonin	0	0.407258789004013	0.706713780918728	118
05-09	Male	Melatonin	0	1.45772594752187	2.23182869206796	222
10-14	Male	Melatonin	0	1.92959887732429	2.6546602736522	227
15-19	Male	Melatonin	0.013933398355859	1.47694022572105	1.85314198132925	133
20-24	Male	Melatonin	0	0.746815053448528	0.893249377654122	61
25-29	Male	Melatonin	0	0.801424755120214	1.00496120086503	79
30-34	Male	Melatonin	0	0.928347280334728	1.1244769874477	86
35-39	Male	Melatonin	0	0.811756473058083	0.951714485654304	68
40-44	Male	Melatonin	0	0.830121553513193	0.978357545211977	66
45-49	Male	Melatonin	0	1.23984019837443	1.35004821600771	98
50-54	Male	Melatonin	0	1.47771017012294	1.60188749534335	129
55-59	Male	Melatonin	0.0112790435371081	1.88360027069704	2.00766974960523	178
60-64	Male	Melatonin	0.012190661952944	2.69413629160063	2.86480555894185	235
65-69	Male	Melatonin	0.0150285542530809	2.91553952509769	3.11091073038774	207
70-74	Male	Melatonin	0.0213675213675214	3.5042735042735	3.67521367521368	172
75-79	Male	Melatonin	0.0313185092389602	3.88349514563107	4.25931725649859	136
80-84	Male	Melatonin	0.0495294700346706	5.0520059435364	5.3987122337791	109
85-89	Male	Melatonin	0.0809061488673139	6.31067961165049	6.63430420711974	82
>90	Male	Melatonin	0.162866449511401	8.30618892508143	8.46905537459283	52
