age_group	gender	name_i	name_j	patient
00-04	Male	Rifabutin	Acenocoumarol	0
05-09	Male	Rifabutin	Acenocoumarol	0
10-14	Male	Rifabutin	Acenocoumarol	0
15-19	Male	Rifabutin	Acenocoumarol	0
20-24	Male	Rifabutin	Acenocoumarol	0
25-29	Male	Rifabutin	Acenocoumarol	0
30-34	Male	Rifabutin	Acenocoumarol	0
35-39	Male	Rifabutin	Acenocoumarol	1.84425964962755e-06
40-44	Male	Rifabutin	Acenocoumarol	0
45-49	Male	Rifabutin	Acenocoumarol	0
50-54	Male	Rifabutin	Acenocoumarol	2.2004911496246e-06
55-59	Male	Rifabutin	Acenocoumarol	0
60-64	Male	Rifabutin	Acenocoumarol	0
65-69	Male	Rifabutin	Acenocoumarol	0
70-74	Male	Rifabutin	Acenocoumarol	5.90967650430815e-06
75-79	Male	Rifabutin	Acenocoumarol	0
80-84	Male	Rifabutin	Acenocoumarol	0
85-89	Male	Rifabutin	Acenocoumarol	0
>90	Male	Rifabutin	Acenocoumarol	0
