age_group	gender	name_i	name_j	patient
00-04	Male	Dopamine	Rasagiline	0
05-09	Male	Dopamine	Rasagiline	0
10-14	Male	Dopamine	Rasagiline	0
15-19	Male	Dopamine	Rasagiline	0
20-24	Male	Dopamine	Rasagiline	0
25-29	Male	Dopamine	Rasagiline	0
30-34	Male	Dopamine	Rasagiline	0
35-39	Male	Dopamine	Rasagiline	0
40-44	Male	Dopamine	Rasagiline	0
45-49	Male	Dopamine	Rasagiline	0
50-54	Male	Dopamine	Rasagiline	0
55-59	Male	Dopamine	Rasagiline	0
60-64	Male	Dopamine	Rasagiline	0
65-69	Male	Dopamine	Rasagiline	0
70-74	Male	Dopamine	Rasagiline	0
75-79	Male	Dopamine	Rasagiline	0
80-84	Male	Dopamine	Rasagiline	0
85-89	Male	Dopamine	Rasagiline	0
>90	Male	Dopamine	Rasagiline	0
