age_group	gender	name_i	name_j	patient
00-04	Male	Trospium	Cyclobenzaprine	0
05-09	Male	Trospium	Cyclobenzaprine	0
10-14	Male	Trospium	Cyclobenzaprine	0
15-19	Male	Trospium	Cyclobenzaprine	0
20-24	Male	Trospium	Cyclobenzaprine	0
25-29	Male	Trospium	Cyclobenzaprine	0
30-34	Male	Trospium	Cyclobenzaprine	0
35-39	Male	Trospium	Cyclobenzaprine	0
40-44	Male	Trospium	Cyclobenzaprine	1.8670126863512e-06
45-49	Male	Trospium	Cyclobenzaprine	0
50-54	Male	Trospium	Cyclobenzaprine	0
55-59	Male	Trospium	Cyclobenzaprine	0
60-64	Male	Trospium	Cyclobenzaprine	0
65-69	Male	Trospium	Cyclobenzaprine	0
70-74	Male	Trospium	Cyclobenzaprine	0
75-79	Male	Trospium	Cyclobenzaprine	0
80-84	Male	Trospium	Cyclobenzaprine	0
85-89	Male	Trospium	Cyclobenzaprine	0
>90	Male	Trospium	Cyclobenzaprine	0
