age_group	gender	name_i	name_j	patient
00-04	Female	Dapsone	Calcium	0
05-09	Female	Dapsone	Calcium	0
10-14	Female	Dapsone	Calcium	0
15-19	Female	Dapsone	Calcium	9.60984047664809e-05
20-24	Female	Dapsone	Calcium	7.52162467092892e-05
25-29	Female	Dapsone	Calcium	6.48971380362126e-05
30-34	Female	Dapsone	Calcium	0
35-39	Female	Dapsone	Calcium	0
40-44	Female	Dapsone	Calcium	0
45-49	Female	Dapsone	Calcium	0
50-54	Female	Dapsone	Calcium	0
55-59	Female	Dapsone	Calcium	8.74737578726382e-05
60-64	Female	Dapsone	Calcium	9.25411808254673e-05
65-69	Female	Dapsone	Calcium	0.000336021505376344
70-74	Female	Dapsone	Calcium	0
75-79	Female	Dapsone	Calcium	0
80-84	Female	Dapsone	Calcium	0
85-89	Female	Dapsone	Calcium	0
>90	Female	Dapsone	Calcium	0
