age_group	gender	name_i	name_j	patient
00-04	Male	Butalbital	Hydrocortisone	0
05-09	Male	Butalbital	Hydrocortisone	0
10-14	Male	Butalbital	Hydrocortisone	0
15-19	Male	Butalbital	Hydrocortisone	0
20-24	Male	Butalbital	Hydrocortisone	0
25-29	Male	Butalbital	Hydrocortisone	0
30-34	Male	Butalbital	Hydrocortisone	0
35-39	Male	Butalbital	Hydrocortisone	0
40-44	Male	Butalbital	Hydrocortisone	0
45-49	Male	Butalbital	Hydrocortisone	0
50-54	Male	Butalbital	Hydrocortisone	0
55-59	Male	Butalbital	Hydrocortisone	0
60-64	Male	Butalbital	Hydrocortisone	0
65-69	Male	Butalbital	Hydrocortisone	0
70-74	Male	Butalbital	Hydrocortisone	0
75-79	Male	Butalbital	Hydrocortisone	0
80-84	Male	Butalbital	Hydrocortisone	0
85-89	Male	Butalbital	Hydrocortisone	0
>90	Male	Butalbital	Hydrocortisone	0
