age_group	gender	name_i	name_j	patient
00-04	Male	Labetalol	Epinephrine	0
05-09	Male	Labetalol	Epinephrine	0
10-14	Male	Labetalol	Epinephrine	0
15-19	Male	Labetalol	Epinephrine	0
20-24	Male	Labetalol	Epinephrine	0
25-29	Male	Labetalol	Epinephrine	0
30-34	Male	Labetalol	Epinephrine	0
35-39	Male	Labetalol	Epinephrine	0
40-44	Male	Labetalol	Epinephrine	0
45-49	Male	Labetalol	Epinephrine	0
50-54	Male	Labetalol	Epinephrine	0
55-59	Male	Labetalol	Epinephrine	0
60-64	Male	Labetalol	Epinephrine	0
65-69	Male	Labetalol	Epinephrine	0
70-74	Male	Labetalol	Epinephrine	0
75-79	Male	Labetalol	Epinephrine	0
80-84	Male	Labetalol	Epinephrine	0
85-89	Male	Labetalol	Epinephrine	0
>90	Male	Labetalol	Epinephrine	0
