age_group	gender	name_i	name_j	patient
00-04	Female	Risedronic acid	Calcium	0
05-09	Female	Risedronic acid	Calcium	0
10-14	Female	Risedronic acid	Calcium	0
15-19	Female	Risedronic acid	Calcium	0
20-24	Female	Risedronic acid	Calcium	0
25-29	Female	Risedronic acid	Calcium	0
30-34	Female	Risedronic acid	Calcium	0
35-39	Female	Risedronic acid	Calcium	0
40-44	Female	Risedronic acid	Calcium	0
45-49	Female	Risedronic acid	Calcium	0
50-54	Female	Risedronic acid	Calcium	0
55-59	Female	Risedronic acid	Calcium	0
60-64	Female	Risedronic acid	Calcium	0.000185082361650935
65-69	Female	Risedronic acid	Calcium	0.000112007168458781
70-74	Female	Risedronic acid	Calcium	0
75-79	Female	Risedronic acid	Calcium	0
80-84	Female	Risedronic acid	Calcium	0
85-89	Female	Risedronic acid	Calcium	0
>90	Female	Risedronic acid	Calcium	0
