age_group	gender	name_i	name_j	patient
00-04	Female	Liothyronine	Digoxin	0
05-09	Female	Liothyronine	Digoxin	0
10-14	Female	Liothyronine	Digoxin	0
15-19	Female	Liothyronine	Digoxin	0
20-24	Female	Liothyronine	Digoxin	0
25-29	Female	Liothyronine	Digoxin	0
30-34	Female	Liothyronine	Digoxin	0
35-39	Female	Liothyronine	Digoxin	0
40-44	Female	Liothyronine	Digoxin	0
45-49	Female	Liothyronine	Digoxin	0
50-54	Female	Liothyronine	Digoxin	0
55-59	Female	Liothyronine	Digoxin	0
60-64	Female	Liothyronine	Digoxin	0
65-69	Female	Liothyronine	Digoxin	0
70-74	Female	Liothyronine	Digoxin	0
75-79	Female	Liothyronine	Digoxin	0.000220361392684002
80-84	Female	Liothyronine	Digoxin	0
85-89	Female	Liothyronine	Digoxin	0
>90	Female	Liothyronine	Digoxin	0
