age_group	gender	name_i	name_j	patient
00-04	Male	Valproic acid	Felbamate	5.9890998382943e-05
05-09	Male	Valproic acid	Felbamate	0.00020106564793405
10-14	Male	Valproic acid	Felbamate	0
15-19	Male	Valproic acid	Felbamate	0.00013933398355859
20-24	Male	Valproic acid	Felbamate	0
25-29	Male	Valproic acid	Felbamate	0
30-34	Male	Valproic acid	Felbamate	0
35-39	Male	Valproic acid	Felbamate	0
40-44	Male	Valproic acid	Felbamate	0
45-49	Male	Valproic acid	Felbamate	0
50-54	Male	Valproic acid	Felbamate	0
55-59	Male	Valproic acid	Felbamate	0
60-64	Male	Valproic acid	Felbamate	0
65-69	Male	Valproic acid	Felbamate	0
70-74	Male	Valproic acid	Felbamate	0
75-79	Male	Valproic acid	Felbamate	0
80-84	Male	Valproic acid	Felbamate	0
85-89	Male	Valproic acid	Felbamate	0
>90	Male	Valproic acid	Felbamate	0
