age_group	gender	name_i	name_j	patient
00-04	Male	Cholestyramine	Ursodeoxycholic acid	0
05-09	Male	Cholestyramine	Ursodeoxycholic acid	0
10-14	Male	Cholestyramine	Ursodeoxycholic acid	0
15-19	Male	Cholestyramine	Ursodeoxycholic acid	0
20-24	Male	Cholestyramine	Ursodeoxycholic acid	0
25-29	Male	Cholestyramine	Ursodeoxycholic acid	0
30-34	Male	Cholestyramine	Ursodeoxycholic acid	0
35-39	Male	Cholestyramine	Ursodeoxycholic acid	0
40-44	Male	Cholestyramine	Ursodeoxycholic acid	0
45-49	Male	Cholestyramine	Ursodeoxycholic acid	0.000137760022041604
50-54	Male	Cholestyramine	Ursodeoxycholic acid	0
55-59	Male	Cholestyramine	Ursodeoxycholic acid	0.000112790435371081
60-64	Male	Cholestyramine	Ursodeoxycholic acid	0.00012190661952944
65-69	Male	Cholestyramine	Ursodeoxycholic acid	0
70-74	Male	Cholestyramine	Ursodeoxycholic acid	0
75-79	Male	Cholestyramine	Ursodeoxycholic acid	0
80-84	Male	Cholestyramine	Ursodeoxycholic acid	0
85-89	Male	Cholestyramine	Ursodeoxycholic acid	0
>90	Male	Cholestyramine	Ursodeoxycholic acid	0
