age_group	gender	name_i	name_j	patient
00-04	Male	Trospium	Tolterodine	0
05-09	Male	Trospium	Tolterodine	0
10-14	Male	Trospium	Tolterodine	0
15-19	Male	Trospium	Tolterodine	0
20-24	Male	Trospium	Tolterodine	0
25-29	Male	Trospium	Tolterodine	0
30-34	Male	Trospium	Tolterodine	4.22252718251874e-06
35-39	Male	Trospium	Tolterodine	1.84425964962755e-06
40-44	Male	Trospium	Tolterodine	5.60103805905361e-06
45-49	Male	Trospium	Tolterodine	2.03608347127799e-06
50-54	Male	Trospium	Tolterodine	2.2004911496246e-06
55-59	Male	Trospium	Tolterodine	2.3477485091797e-06
60-64	Male	Trospium	Tolterodine	9.71694538105001e-06
65-69	Male	Trospium	Tolterodine	2.11839161116922e-05
70-74	Male	Trospium	Tolterodine	2.36387060172326e-05
75-79	Male	Trospium	Tolterodine	3.15833801235261e-05
80-84	Male	Trospium	Tolterodine	3.59878900749898e-05
85-89	Male	Trospium	Tolterodine	2.70672621464339e-05
>90	Male	Trospium	Tolterodine	4.40988402005027e-05
