age_group	gender	name_i	name_j	patient
00-04	Male	Buspirone	Rifampicin	0
05-09	Male	Buspirone	Rifampicin	0
10-14	Male	Buspirone	Rifampicin	0
15-19	Male	Buspirone	Rifampicin	0
20-24	Male	Buspirone	Rifampicin	0
25-29	Male	Buspirone	Rifampicin	0
30-34	Male	Buspirone	Rifampicin	0
35-39	Male	Buspirone	Rifampicin	0.000139958012596221
40-44	Male	Buspirone	Rifampicin	0
45-49	Male	Buspirone	Rifampicin	0
50-54	Male	Buspirone	Rifampicin	0
55-59	Male	Buspirone	Rifampicin	0
60-64	Male	Buspirone	Rifampicin	0
65-69	Male	Buspirone	Rifampicin	0.000150285542530809
70-74	Male	Buspirone	Rifampicin	0
75-79	Male	Buspirone	Rifampicin	0
80-84	Male	Buspirone	Rifampicin	0
85-89	Male	Buspirone	Rifampicin	0
>90	Male	Buspirone	Rifampicin	0
