age_group	gender	name_i	name_j	patient
00-04	Male	Pravastatin	Colchicine	0
05-09	Male	Pravastatin	Colchicine	0
10-14	Male	Pravastatin	Colchicine	0
15-19	Male	Pravastatin	Colchicine	0
20-24	Male	Pravastatin	Colchicine	0
25-29	Male	Pravastatin	Colchicine	0
30-34	Male	Pravastatin	Colchicine	0
35-39	Male	Pravastatin	Colchicine	0.000559832050384885
40-44	Male	Pravastatin	Colchicine	0
45-49	Male	Pravastatin	Colchicine	0.000275520044083207
50-54	Male	Pravastatin	Colchicine	0.000124177325220415
55-59	Male	Pravastatin	Colchicine	0.000225580870742161
60-64	Male	Pravastatin	Colchicine	0
65-69	Male	Pravastatin	Colchicine	0
70-74	Male	Pravastatin	Colchicine	0.000854700854700855
75-79	Male	Pravastatin	Colchicine	0.000313185092389602
80-84	Male	Pravastatin	Colchicine	0.000990589400693413
85-89	Male	Pravastatin	Colchicine	0
>90	Male	Pravastatin	Colchicine	0
