age_group	gender	name_i	name_j	patient
00-04	Female	Colestipol	Ursodeoxycholic acid	0
05-09	Female	Colestipol	Ursodeoxycholic acid	0
10-14	Female	Colestipol	Ursodeoxycholic acid	0
15-19	Female	Colestipol	Ursodeoxycholic acid	0
20-24	Female	Colestipol	Ursodeoxycholic acid	0
25-29	Female	Colestipol	Ursodeoxycholic acid	0
30-34	Female	Colestipol	Ursodeoxycholic acid	0
35-39	Female	Colestipol	Ursodeoxycholic acid	0
40-44	Female	Colestipol	Ursodeoxycholic acid	0
45-49	Female	Colestipol	Ursodeoxycholic acid	0
50-54	Female	Colestipol	Ursodeoxycholic acid	9.23446301597562e-05
55-59	Female	Colestipol	Ursodeoxycholic acid	0
60-64	Female	Colestipol	Ursodeoxycholic acid	0
65-69	Female	Colestipol	Ursodeoxycholic acid	0
70-74	Female	Colestipol	Ursodeoxycholic acid	0
75-79	Female	Colestipol	Ursodeoxycholic acid	0
80-84	Female	Colestipol	Ursodeoxycholic acid	0
85-89	Female	Colestipol	Ursodeoxycholic acid	0
>90	Female	Colestipol	Ursodeoxycholic acid	0
