age_group	gender	name_i	name_j	patient
00-04	Female	Hydrocortisone	Rifampicin	0
05-09	Female	Hydrocortisone	Rifampicin	0
10-14	Female	Hydrocortisone	Rifampicin	0
15-19	Female	Hydrocortisone	Rifampicin	0
20-24	Female	Hydrocortisone	Rifampicin	0
25-29	Female	Hydrocortisone	Rifampicin	0
30-34	Female	Hydrocortisone	Rifampicin	7.36214385629095e-05
35-39	Female	Hydrocortisone	Rifampicin	0
40-44	Female	Hydrocortisone	Rifampicin	0
45-49	Female	Hydrocortisone	Rifampicin	0
50-54	Female	Hydrocortisone	Rifampicin	0
55-59	Female	Hydrocortisone	Rifampicin	0
60-64	Female	Hydrocortisone	Rifampicin	0.000185082361650935
65-69	Female	Hydrocortisone	Rifampicin	0
70-74	Female	Hydrocortisone	Rifampicin	0
75-79	Female	Hydrocortisone	Rifampicin	0
80-84	Female	Hydrocortisone	Rifampicin	0.000301841231512225
85-89	Female	Hydrocortisone	Rifampicin	0
>90	Female	Hydrocortisone	Rifampicin	0
