age_group	gender	name_i	name_j	patient
00-04	Female	Testosterone	Acenocoumarol	0
05-09	Female	Testosterone	Acenocoumarol	0
10-14	Female	Testosterone	Acenocoumarol	0
15-19	Female	Testosterone	Acenocoumarol	0
20-24	Female	Testosterone	Acenocoumarol	0
25-29	Female	Testosterone	Acenocoumarol	0
30-34	Female	Testosterone	Acenocoumarol	0
35-39	Female	Testosterone	Acenocoumarol	1.70016559612906e-06
40-44	Female	Testosterone	Acenocoumarol	0
45-49	Female	Testosterone	Acenocoumarol	0
50-54	Female	Testosterone	Acenocoumarol	0
55-59	Female	Testosterone	Acenocoumarol	4.19976607302973e-06
60-64	Female	Testosterone	Acenocoumarol	2.1797129753954e-06
65-69	Female	Testosterone	Acenocoumarol	0
70-74	Female	Testosterone	Acenocoumarol	2.55507463373005e-06
75-79	Female	Testosterone	Acenocoumarol	2.79839260328867e-06
80-84	Female	Testosterone	Acenocoumarol	0
85-89	Female	Testosterone	Acenocoumarol	0
>90	Female	Testosterone	Acenocoumarol	0
