age_group	gender	name_i	name_j	patient
00-04	Male	Emtricitabine	Valganciclovir	0
05-09	Male	Emtricitabine	Valganciclovir	0
10-14	Male	Emtricitabine	Valganciclovir	0
15-19	Male	Emtricitabine	Valganciclovir	0
20-24	Male	Emtricitabine	Valganciclovir	0.000146434324205594
25-29	Male	Emtricitabine	Valganciclovir	0.00012721027859051
30-34	Male	Emtricitabine	Valganciclovir	0
35-39	Male	Emtricitabine	Valganciclovir	0
40-44	Male	Emtricitabine	Valganciclovir	0
45-49	Male	Emtricitabine	Valganciclovir	0.000137760022041604
50-54	Male	Emtricitabine	Valganciclovir	0.000124177325220415
55-59	Male	Emtricitabine	Valganciclovir	0
60-64	Male	Emtricitabine	Valganciclovir	0
65-69	Male	Emtricitabine	Valganciclovir	0
70-74	Male	Emtricitabine	Valganciclovir	0
75-79	Male	Emtricitabine	Valganciclovir	0
80-84	Male	Emtricitabine	Valganciclovir	0
85-89	Male	Emtricitabine	Valganciclovir	0
>90	Male	Emtricitabine	Valganciclovir	0
